OBJECTID,unitid,unitloc,unitshift,unittype,unitsquad,unitradio,unitduties,level_id,staffrank,staffname,staffphone,staffemail,staffstatus,staffpay,staffduty,staffskills,staffagency,apparatus,eventid,uniqueid,poststatus,CreationDate,Creator,EditDate,Editor,start_time,end_time,start_time_txt,end_time_txt,elevation,Z,X,Y,POINT_X,POINT_Y,POINT_Z,feature_order
21,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.684360504,4.769339085,-13704309.73,6321850.82,-13704309.73,6321850.82,0,21
22,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.928792953,4.928793111,-13704356.27,6321861.055,-13704356.27,6321861.055,0,22
23,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:29,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.191029072,4.191029178,-13704278.77,6321903.316,-13704278.77,6321903.316,0,23
24,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:24,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.004535198,4.192516361,-13704219.92,6321848.521,-13704219.92,6321848.521,0,24
25,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:25,gvanmaren_3dgis,29/04/2026 08:28,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.323612213,4.323612213,-13704522.48,6321856.06,-13704522.48,6321856.06,0,25
26,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:26,gvanmaren_3dgis,29/04/2026 08:26,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.323612213,4.323612213,-13704522.23,6321854.385,-13704522.23,6321854.385,0,26
27,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:27,gvanmaren_3dgis,29/04/2026 08:30,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.829718113,4.829718113,-13704149.54,6321987.082,-13704149.54,6321987.082,0,27
28,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,6321908.055,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.595128059,4.508930683,-13704325.53,6321908.055,-13704325.53,6321908.055,0,28
29,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,6321910.742,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.461204052,4.461204052,-13704463.9,6321910.742,-13704463.9,6321910.742,0,29
30,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,6321843.662,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.684360504,4.769339085,-13704264.34,6321843.662,-13704264.34,6321843.662,0,30
31,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,6321861.055,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.928792953,4.928793111,-13704356.27,6321861.055,-13704356.27,6321861.055,0,31
32,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:29,6321903.316,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.191029072,4.191029178,-13704278.77,6321903.316,-13704278.77,6321903.316,0,32
33,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:24,6321849.672,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.004535198,4.192516361,-13704206.37,6321849.672,-13704206.37,6321849.672,0,33
34,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:25,gvanmaren_3dgis,29/04/2026 08:28,6321856.06,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.323612213,4.323612213,-13704522.48,6321856.06,-13704522.48,6321856.06,0,34
35,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:26,gvanmaren_3dgis,29/04/2026 08:26,6321854.385,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.323612213,4.323612213,-13704522.23,6321854.385,-13704522.23,6321854.385,0,35
36,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:27,gvanmaren_3dgis,29/04/2026 08:30,6321987.082,11/06/2026 17:01,11/06/2026 17:02,11/06/2026 17:01,11/06/2026 17:02,4.829718113,4.829718113,-13704149.54,6321987.082,-13704149.54,6321987.082,0,36
37,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.595128059,4.943184853,-13704295.79,6321879.649,-13704295.79,6321879.649,0,37
38,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.461204052,4.461204052,-13704463.9,6321910.742,-13704463.9,6321910.742,0,38
39,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.684360504,4.289513099,-13704235.9,6321843.66,-13704235.9,6321843.66,0,39
40,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.928792953,4.928793111,-13704356.27,6321861.055,-13704356.27,6321861.055,0,40
41,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:29,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.191029072,4.191029178,-13704278.77,6321903.316,-13704278.77,6321903.316,0,41
42,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:24,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.004535198,4.063602448,-13704199.99,6321842.45,-13704199.99,6321842.45,0,42
43,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:25,gvanmaren_3dgis,29/04/2026 08:28,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.323612213,4.323612213,-13704522.48,6321856.06,-13704522.48,6321856.06,0,43
44,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:26,gvanmaren_3dgis,29/04/2026 08:26,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.323612213,4.452484808,-13704443.79,6321913.437,-13704443.79,6321913.437,0,44
45,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:27,gvanmaren_3dgis,29/04/2026 08:30,gvanmaren_3dgis,11/06/2026 17:02,11/06/2026 17:03,11/06/2026 17:02,11/06/2026 17:03,4.829718113,4.829718113,-13704149.54,6321987.082,-13704149.54,6321987.082,0,45
46,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,6321856.024,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.595128059,4.595128056,-13704250.9,6321856.024,-13704250.9,6321856.024,-3.575,46
47,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,6321920.625,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.461204052,4.461204052,-13704415.06,6321920.625,-13704415.06,6321920.625,0,47
48,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,6321843.66,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.684360504,4.684360581,-13704218.76,6321843.66,-13704218.76,6321843.66,0,48
49,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,6321865.895,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.928792953,4.928793111,-13704342.04,6321865.895,-13704342.04,6321865.895,0,49
50,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:29,6321875.517,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.191029072,4.191029178,-13704265.96,6321875.517,-13704265.96,6321875.517,0,50
51,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:24,6321842.45,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.004535198,4.004535064,-13704199.99,6321842.45,-13704199.99,6321842.45,0,51
52,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:25,gvanmaren_3dgis,29/04/2026 08:28,6321856.06,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.323612213,4.323612213,-13704522.48,6321856.06,-13704522.48,6321856.06,0,52
53,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:26,gvanmaren_3dgis,29/04/2026 08:26,6321930.407,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.323612213,4.323612213,-13704340.61,6321930.407,-13704340.61,6321930.407,0,53
54,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:27,gvanmaren_3dgis,29/04/2026 08:30,6321987.082,11/06/2026 17:03,11/06/2026 17:04,11/06/2026 17:03,11/06/2026 17:04,4.829718113,4.829718113,-13704149.54,6321987.082,-13704149.54,6321987.082,0,54
55,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,gvanmaren_3dgis,11/06/2026 17:04,11/06/2026 17:05,11/06/2026 17:04,11/06/2026 17:05,4.069633484,4.069633484,-13704198.55,6321850.257,-13704198.55,6321850.257,0,55
56,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,gvanmaren_3dgis,11/06/2026 17:04,11/06/2026 17:05,11/06/2026 17:04,11/06/2026 17:05,4.461204052,4.461204052,-13704463.9,6321910.742,-13704463.9,6321910.742,0,56
57,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,gvanmaren_3dgis,11/06/2026 17:04,11/06/2026 17:05,11/06/2026 17:04,11/06/2026 17:05,4.135970116,4.135970116,-13704208.23,6321839.956,-13704208.23,6321839.956,0,57
58,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,gvanmaren_3dgis,11/06/2026 17:04,11/06/2026 17:05,11/06/2026 17:04,11/06/2026 17:05,4.928792953,4.928793111,-13704284.82,6321845.815,-13704284.82,6321845.815,0,58
